GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
ROBO2P1_ENSG00000229478	0	0	0
LINC00362	0	0	0
LINC02766	0	0	0
KSR1P1_ENSG00000229485	0	0	0
ENSG00000229486	0	0	0
ALG13-AS1	0	0	0
ENSG00000229491	0	0	0
ENSG00000229492	0	0	0
ENSG00000229494	0	0	0
ENSG00000229495	0	0	0
ENSG00000229497	0	0	0
ENSG00000229498	0	0	0
RPL17P1_ENSG00000229500	0	0	0
ENSG00000229502	0	0	0.1
RPL21P37_ENSG00000229503	0	0	0
ENSG00000229505	0	0	0
PHKG1P4_ENSG00000229508	0	0	0
ENSG00000229509	0	0	0
GAS2L1P1_ENSG00000229511	0	0	0
ENSG00000229512	0	0	0
FLT1P1_ENSG00000229515	0	0	0
UBE2V1P3_ENSG00000229518	0	0	0
ENSG00000229519	0	0	0
LINC00404	0	0	0
MYCBP2-AS2	0	0	0
LINC01523	0	0	0
AC053503.2	0	0	0
KRT16P4_ENSG00000229526	0	0	0
ENSG00000229528	0	0	0
ENSG00000229530	0	0	0
Z99127.1	0	0	0
ENSG00000229532	0	0	0
ENSG00000229533	0	0	0
HNRNPA1P53_ENSG00000229534	0	0	0
LINC02572	0	0	0
LINC01739	0	0	0
AL353194.1	0.11	1.6	0.58
GAPDHP26_ENSG00000229541	0	0	0
ENSG00000229543	0	0	0
NKX1-2	0	0	0
LINC00428	0	0	0
ENSG00000229547	0	0	0
TSPY8	0	0	0
ENSG00000229550	0	0	0
GAPDHP17_ENSG00000229551	0	0	0
USP9YP17_ENSG00000229553	0	0	0
RPL21P24_ENSG00000229554	0	0	0
LINC00379	0	0	0
SACS-AS1	0	0	0
ENSG00000229559	0	0	0
LYARP1_ENSG00000229560	0	0	0
ZFYVE9P1_ENSG00000229562	0	0	0
LINC01204	0.13	0.6	0.49
LINC02264	0	0	0
ENSG00000229567	0	0	0
SMC4P1_ENSG00000229568	0	0	0
ENSG00000229569	0	0	0
GAPDHP58_ENSG00000229570	0	0	0
PRAMEF25	0	0	0
EIF4BP4_ENSG00000229572	0.01	0	0
LINC00358	0	0	0
USP17L26	0	0	0
AL358074.1	0	0	0
RPL21P44_ENSG00000229585	0.09	0	0
TNPO1P3_ENSG00000229586	0	0	0
ENSG00000229587	0	0	0
ENSG00000229588	0	0	0
ACVR2B-AS1	0.03	0	0
MSX2P1_ENSG00000229590	0	0	0
ENSG00000229591	0	0	0.09
SUCLA2P3_ENSG00000229593	0	0	0
ENSG00000229594	0	0	0
ENSG00000229595	0	0	0
MYL12BP3_ENSG00000229596	0	0	0
PRDX3P1_ENSG00000229598	0	0	0.29
LINC00411	0	0	0
ENSG00000229600	0	0	0
ENSG00000229601	0	0	0
ENSG00000229603	0	0	0
MTATP8P2_ENSG00000229604	0	0	0
RPL21P93_ENSG00000229605	0	0	0
LINC01718	0	0	0
ENSG00000229607	0	0	0
GOLGA2P4_ENSG00000229608	0	0	0
LINC01079	0	0	0
SUMO1P2_ENSG00000229612	0	0	0
LINC01501	0	0	0
ENSG00000229616	0	0	0
ENSG00000229618	0	0.07	0.19
MBNL1-AS1	0.21	0.62	0.28
LINC01822	0	0	0
MTND5P2_ENSG00000229622	0	0	0
METTL21AP1_ENSG00000229623	0	0	0
ENSG00000229625	0	0	0
PIGCP2_ENSG00000229626	0	0	0
BSNDP4_ENSG00000229627	0	0	0
ENSG00000229628	0	0	0
ENSG00000229629	0	0	0
LINC01264	0	0	0
ENSG00000229635	0	0	0.07
KRT8P21_ENSG00000229636	0	0	0
PRAC2	0	0	0
RPL4P4_ENSG00000229638	0.51	0.12	0.18
LINC01758	0	0	0
CYP2C56P_ENSG00000229641	0	0	0
ENSG00000229642	0.09	0.29	1
LINC00280	0	0	0
NAMPTP1_ENSG00000229644	0.46	0.47	0.41
ENSG00000229646	0	0	0
MYOSLID	0	0.06	0
RPSAP22_ENSG00000229648	0	0	0
LINC02681	0	0	0
ENSG00000229652	0	0	0
LINC02526	0	0	0
ITGB1-DT	0.29	0.12	0.03
RPL13AP11_ENSG00000229657	0	0	0
PABPC1P9_ENSG00000229658	0	0	0
RPL26P6_ENSG00000229659	0	0	0
ENSG00000229660	0	0	0.84
BUD31P2_ENSG00000229661	0	0	0
ENSG00000229662	0	0	0
DPY19L4P1_ENSG00000229663	0	0	0
ENSG00000229664	0	0	0
PRR20C	0	0	0
MAST4-AS1	0.14	0	0
UBE2V1P9_ENSG00000229667	0	0	0
ENSG00000229668	0.17	0	0
PKP4P1_ENSG00000229670	0	0	0
LINC01150	0	0	0
ENSG00000229672	0	0	0
ENSG00000229673	0	0	0
AL121578.2	0	0	0
ZNF492	0	0	0
RPL17P28_ENSG00000229677	0	0	0.35
ENSG00000229679	0	0	0
ENSG00000229682	0	0	0
SNORD56_ENSG00000229686	0	0	0
ENSG00000229687	0	0	0
CRPPA-AS1	0	0	0
ANKRD33BP1_ENSG00000229689	0	0	0
MTCO2P1_ENSG00000229690	0	0	0
SOS1-IT1	0	0.05	0.05
SKP2P1_ENSG00000229693	0	0	0
AL158071.1	0	0	0
ENSG00000229695	0	0	0
KARS1P1_ENSG00000229696	0.02	0	0
FAM242E	0	0	0
ENSG00000229699	0	0	0
RPL29P17_ENSG00000229700	0	0	0
MTND2P20_ENSG00000229701	0	0	0
LYPD9P_ENSG00000229703	0	0	0
EIF2S2P2_ENSG00000229704	0	0	0
SKP1P3_ENSG00000229707	0	0	0
MARK2P12_ENSG00000229708	0	0	0
USP9YP36_ENSG00000229709	0	0	0
ENSG00000229711	0	0	0
LCEP2_ENSG00000229713	0	0	0
EEF1DP3_ENSG00000229715	0.81	0.44	0.31
RPL23AP19_ENSG00000229716	0	0	0
ENSG00000229717	0	0	0
MIR194-2HG	2.81	3.37	7.66
ENSG00000229720	0	0	0
ENSG00000229721	0	0	0
ENSG00000229722	0	0	0
LINC01054	0	0	0
OR2AQ1P_ENSG00000229724	0	0	0
ENSG00000229725	0	0	0
ENSG00000229727	0	0	0
ENSG00000229728	0	0	0
ENSG00000229730	0	0	0
ENSG00000229731	0	0	0
ENSG00000229732	0	0.36	1.11
ENSG00000229733	0	0	0
FTLP16_ENSG00000229735	0	0	0
ENSG00000229738	0	0	0
AL096803.2	0	0	0
ENSG00000229740	0	0	0
ENSG00000229742	0	0	0
LINC01159	0	0	0
SDHDP5_ENSG00000229744	0	0	0
BPY2DP_ENSG00000229745	0	0	0
ENSG00000229747	0	0	0
COTL1P1_ENSG00000229749	0	0	0
ENSG00000229750	0	0	0
ENSG00000229751	0	0	0
RPL7P10_ENSG00000229752	0	0	0
RPS27AP15_ENSG00000229753	0	0	0
CXCR2P1_ENSG00000229754	0	0	0
ENSG00000229755	0	0	0
RPL31P20_ENSG00000229756	0	0	0
RPL7AP21_ENSG00000229757	0	0	0
DYNLT3P2_ENSG00000229758	0	0	0
MRPS18AP1_ENSG00000229759	0	0	0
MTCO1P52_ENSG00000229760	0	0	0
RPS20P1_ENSG00000229761	0	0	0
ENSG00000229762	0	0	0
RPL21P62_ENSG00000229765	0	0	0
AL021396.1	0	0	0
TRBV10-2	0	0	0
ENSG00000229770	0	0	0
ENSG00000229771	0	0	0
ENSG00000229774	0	0	0
LINC02624	0	0	0
C4B-AS1	0	0	0
ENSG00000229779	0	0	0
UBE2Q1-AS1	0	0	0
RRN3P4_ENSG00000229781	0	0	0
AC118754.1	0	0	0
SLC25A38P1_ENSG00000229785	0	0	0
SNRPFP2_ENSG00000229786	0	0	0
LINC00388	0	0	0
ENSG00000229791	0	0	0
LINC00399	0	0	0
MTCYBP32_ENSG00000229794	0	0	0
RPS21P1_ENSG00000229795	0	0	0
ENSG00000229797	0	0	0
KRT18P26_ENSG00000229798	0	0	0
ATP8A2P2_ENSG00000229800	0	0	0
LINC01813	0	0	0
RPS15P5_ENSG00000229806	0	0	0
XIST	3.17	4.99	8.84
ENSG00000229808	0	0	0.11
ZNF688	1.24	1.11	2.43
RPL35AP21_ENSG00000229814	0	0	0
CCNB1IP1P1_ENSG00000229815	0	0	0
DDX50P1_ENSG00000229816	0.06	0.05	0.06
ENSG00000229817	0	0	0
DNAJC8P4_ENSG00000229820	0	0	0
ENSG00000229821	0	0	0
RPS15AP39_ENSG00000229822	0	0	0
RPL12P34_ENSG00000229824	0	0	0
ENSG00000229826	0	0	0
ENSG00000229827	0	0	0
PDE4DIPP1_ENSG00000229828	0	0	0
DUTP4_ENSG00000229829	0	0	0
ENSG00000229830	0	0	0
ENSG00000229831	0	0	0
ENSG00000229832	0	0	0
PET100	6.57	11.78	6.02
ENSG00000229834	0	0	0
KHSRPP1_ENSG00000229835	0	0	0
ENSG00000229836	0	0	0
ENSG00000229839	0	0	0
ISCA1P2_ENSG00000229840	0	0	0
MTATP6P13_ENSG00000229842	0	0	0
ENSG00000229846	0	0	0
EMX2OS	0	0.02	0
ENSG00000229848	0.29	0.09	0.35
PYHIN5P_ENSG00000229849	0	0	0
ARSD-AS1	0	0	0
AC019205.1	0	0.01	0
ENSG00000229853	0	0	0
ENSG00000229854	0	0	0
ENSG00000229855	0	0	0
ENSG00000229857	0	0	0
ENSG00000229858	0	0	0
PGA3	0	0.02	0
AL121972.1	0	0	0
RPL19P2_ENSG00000229863	0	0	0
RPL31P54_ENSG00000229865	0	0	0
STEAP3-AS1	0	0	0
AL359878.2	0	0	0
RPL21P89_ENSG00000229870	0	0	0
RPSAP20_ENSG00000229871	0	0	0
OGFR-AS1	0	0	0
EIF1P1_ENSG00000229875	0	0	0
CASC20	0	0	0
PAICSP5_ENSG00000229877	0	0	0
ENSG00000229878	0	0	0
IMMTP1_ENSG00000229880	0	0	0
ENSG00000229882	0	0	0
ENSG00000229885	0	0	0
ENSG00000229886	0	0	0
HNRNPA1P6_ENSG00000229887	0	0	0
ACTP1_ENSG00000229890	0	0	0
LINC01315	0.19	0	0.06
ENSG00000229892	0	0	0
AC005091.1	0	0	0
GK3P	0	0.02	0.04
ENSG00000229896	0	0	0
SEPTIN7P7_ENSG00000229897	0	0	0
ENSG00000229899	0	0	0
HSPD1P21_ENSG00000229900	0	0	0
AC093151.2	0	0	0
ENSG00000229905	0	0	0
SNRPGP11_ENSG00000229906	0	0	0
DEFB108A_ENSG00000229907	0	0	0
TRIM60P16_ENSG00000229909	0	0	0
HNRNPA1P18_ENSG00000229910	0	0	0
ENSG00000229911	0	0	0
ENSG00000229912	0	0	0
ENSG00000229913	0	0	0
ENSG00000229914	0	0	0
ENSG00000229915	0	0	0.16
RPL7P46_ENSG00000229917	0	0.15	0
DOCK9-AS1	0	0	0
ELOCP3_ENSG00000229919	0	0	0
RPS4XP5_ENSG00000229920	0	0	0
KIF25-AS1	0	0	0
LINC02528	0	0	0
ENSG00000229923	0	0	0
FAM90A26	0	0	0
ENSG00000229925	0	0	0
IL9RP1_ENSG00000229926	0	0	0
RHEBP1_ENSG00000229927	0.07	0.15	1.54
LINC00400	0	0	0
ENSG00000229930	0	0	0
AL137003.1	0.03	0.22	0.33
YWHAZP3_ENSG00000229932	1.63	0.55	1.12
MTCYBP9_ENSG00000229935	0	0	0
PRPS1L1	0	0	0
MYO16-AS2	0	0	0
ENSG00000229939	0	0	0
TSPY22P_ENSG00000229940	0	0	0
AC012499.1	0	0	0
ENSG00000229943	0	0	0
EIF4EP2_ENSG00000229944	2.66	0.96	1.9
B3GNT2P1_ENSG00000229946	0	0	0
B3GALNT1P1_ENSG00000229948	0	0	0
ENSG00000229949	0	0	0
TFAP2A-AS1	0	0	0
AC104695.2	0.03	0.03	0.05
AL590666.2	3.23	0.51	0.83
MTND2P2_ENSG00000229954	0	0	0
ENSG00000229955	0	0	0
ZRANB2-AS2	0.11	0	0.03
ENSG00000229957	0	0	0
ENSG00000229960	0	0	0
ENSG00000229961	0	0	0
ENSG00000229962	0	0	0
ENSG00000229964	0	0	0
RPS3AP7_ENSG00000229965	0	0	0
MAGEA4-AS1	0	0	0
ENSG00000229968	0	0	0
ENSG00000229969	0	0	0
ENSG00000229970	0	0	0
ENSG00000229971	0	0	0
IQCF3	0	0	0
LIPT1P1_ENSG00000229975	0	0	0
ENSG00000229976	0	0	0
ENSG00000229977	0	0	0
PRAMEF36P_ENSG00000229978	0	0	0
HMGN2P48_ENSG00000229979	0	0	0
TOB1-AS1	0	0.07	0.08
LINC01435	0	0	0
GTF3AP6_ENSG00000229982	0	0	0
ENSG00000229983	0	0	0
ENSG00000229985	0	0	0
ENSG00000229986	0	0	0
HBBP1_ENSG00000229988	0	0	0
MIR181A1HG	0.01	0.12	0.65
ENSG00000229990	0	0.04	0
AKR1B1P1_ENSG00000229991	0	0	0
HMGB3P9_ENSG00000229992	0	0	0
RPL5P4_ENSG00000229994	0	0.04	0
ENSG00000229996	0	0	0
AL022238.2	0	0	0
ENSG00000230000	0	0	0
ENSG00000230001	0	0.12	0
ALMS1-IT1	0.01	0.1	0.05
ENSG00000230003	0	0	0
SNAP47-AS1	0	0	0.01
ANKRD36BP2_ENSG00000230006	0	0	0
MTCO2P3_ENSG00000230009	0	0	0
ENSG00000230010	0	0	0
CTSLP4_ENSG00000230011	0	0	0
CT70	0	0	0
LINC00709	0	0	0
ENSG00000230015	0	0	0
PPIAP39_ENSG00000230018	0	0	0
YWHAQP9_ENSG00000230019	0	0	0
NHS-AS1	0	0	0
ENSG00000230021	0	0	0
FNTAP2_ENSG00000230022	0	0	0
LINC02800	0	0	0
ENSG00000230025	0	0	0
ENSG00000230026	0	0	0
ENSG00000230027	0	0	0
CDY11P_ENSG00000230029	0	0	0
ENSG00000230030	0	0	0
POTEB2	0	0	0
ENSG00000230033	0	0	0
IGSF21-AS1	0	0	0
UBBP1_ENSG00000230037	0	0	0
CCNYL5_ENSG00000230039	0	0	0.03
LINC00364	0	0	0
AK3P3_ENSG00000230042	0	0	0
TMSB4XP6_ENSG00000230043	17.03	22.49	0
CDK8P1_ENSG00000230044	0	0	0
FAM90A15_ENSG00000230045	0.01	0	0
BIRC6-AS1	0	0	0
HIGD2AP1_ENSG00000230047	0	0	0
ENSG00000230051	0	0	0
MTND3P2_ENSG00000230052	0	0	0
ENSG00000230053	0	0	0
TEX53	0	0	0
DDX6P1_ENSG00000230056	0	0	0
TRPM2-AS	0	0	0
ANKRD66	0	0	0
ENSG00000230063	0	0	0
RPL21P81_ENSG00000230064	0	0	0
ENSG00000230065	0	0	0
FAM197Y3_ENSG00000230066	0	0	0
HSPD1P6_ENSG00000230067	0	0	0
CDC42-IT1	0	0	0
LRRC37A15P_ENSG00000230069	0	0.06	0
RPL4P6_ENSG00000230071	0	0	0.04
ENSG00000230073	0	0	0
ENSG00000230074	0.33	0.48	0.38
RPL10P6_ENSG00000230076	0	0	0
MTAPP2_ENSG00000230077	0	0	0
STK24P1_ENSG00000230079	0	0	0
ENSG00000230080	0	0	0
HSPE1P28_ENSG00000230081	0	0	0
PRRT3-AS1	0.18	0.19	0
ENSG00000230083	0	0	0
AC006059.1	0.06	0.68	0.64
VN1R96P_ENSG00000230086	0	0	0
ENSG00000230087	0	0	0
KRT16P5_ENSG00000230088	0	0	0
ENSG00000230090	0	0	0
TMEM254-AS1	0	0	0
ENSG00000230092	0	0	0
ENSG00000230096	0	0	0
ME2P1_ENSG00000230097	0	0	0
TCERG1L-AS1	0	0	0
TRBV5-4	0	0.15	0
ENSG00000230100	0	0	0
TUBB3P2_ENSG00000230101	0	0	0
LINC02028	0.12	0	0.01
ENSG00000230104	0	0	0
ENSG00000230105	0	0	0
SNRPCP15_ENSG00000230106	0	0	0
ENSG00000230107	0	0	0
LINC02643	0	0	0
H3P11_ENSG00000230111	0	0	0
ENSG00000230112	0	0	0
ENSG00000230113	0	0	0
AL590432.1	0	0	0
TPRG1-AS2	0	0	0
RPS3AP11_ENSG00000230116	0	0	0
ENSG00000230118	0	0	0
ENSG00000230119	0	0	0
ENSG00000230120	0	0	0
ENSG00000230121	0	0	0
ECEL1P3_ENSG00000230122	0	0	0
DLEC1P1_ENSG00000230123	0	0	0
ACBD6	1.34	1.69	1.41
EEF1A1P39_ENSG00000230125	0	0	0
FGF12-AS2	0	0	0
MTND2P39_ENSG00000230130	0	0	0
LINC02641	0	0	0
ENSG00000230132	0	0	0
LINC01721	0	0	0
ENSG00000230137	0	0	0
LINC02812	0	0	0
AC016738.2	0	0.12	0.24
LINC01075	0	0	0
SEPHS1P4_ENSG00000230146	0	0	0
ENSG00000230147	0	0	0
HOXB-AS1	0	0	0
ENSG00000230149	0.08	0.16	0
AF274573.1	0	0	0
AIDAP1_ENSG00000230154	0	0	0
FO393401.1	0	0	0
ATP5MC1P1_ENSG00000230157	0	0	0
MTND1P28_ENSG00000230158	0	0	0
ENSG00000230159	0	0	0
ENSG00000230160	0	0	0
ENSG00000230161	0	0	0
CT45A11P_ENSG00000230162	0	0	0
ENSG00000230163	0.14	0.2	0.24
MAS1LP1_ENSG00000230164	0	0	0
AURKAP2_ENSG00000230165	0	0	0
RPL35AP24_ENSG00000230166	0	0	0
RPL30P16_ENSG00000230169	0	0	0
HNRNPA1P28_ENSG00000230170	0	0	0
RPL22P18_ENSG00000230171	0	0	0
ENSG00000230172	0	0	0
LINC01790	0	0	0
LINC01149	0	0	0.04
ENSG00000230175	0	0	0
LINC01433	0	0	0
OR4F3	0	0	0
RPL12P49_ENSG00000230180	0	0	0
RNF10P1_ENSG00000230182	0	0	0
CNOT6LP1_ENSG00000230183	0	0	0.05
SMYD3-IT1	0	0	0
C9orf147	0	0	0
ENSG00000230186	0	0	0
ENSG00000230187	0	0	0
RPL21P83_ENSG00000230188	0	0	0
RABGEF1P2_ENSG00000230189	0	0	0
ENSG00000230190	0	0	0
IFITM3P4_ENSG00000230191	0	0	0
ENSG00000230192	0	0	0
ENSG00000230194	0	0	0
DDX43P3_ENSG00000230196	0	0	0
ENSG00000230197	0	0	0
RPL37P4_ENSG00000230198	0	0	0
ENSG00000230199	0	0	0
ATP6V0CP1_ENSG00000230201	0	0	0
RPL29P4_ENSG00000230202	7.85	6.06	10.53
ENSG00000230203	0	0	0
FTH1P5_ENSG00000230204	0.07	0.01	0
ENSG00000230205	0	0	0
RPL4P5_ENSG00000230207	0.07	0	0.02
IFNNP1_ENSG00000230208	0	0	0
AP000688.1	0.05	0	0
OR8V1P_ENSG00000230213	0	0	0
FTLP18_ENSG00000230214	0	0	0
LINC01840	0	0	0
HSPB1P2_ENSG00000230216	0	0	0
CIBAR1P2_ENSG00000230219	0	0	0
ENSG00000230221	0	0	0
ATXN8OS	0	0	0
PHB1P9_ENSG00000230224	0	0	0.13
MTND5P14_ENSG00000230225	0	0	0.02
ENSG00000230226	0	0	0
SIAH1P1_ENSG00000230227	0	0	0
H3P1_ENSG00000230228	0	0	0
ENSG00000230229	0	0	0
FMO7P_ENSG00000230231	0	0	0
ENSG00000230233	0	0	0
ENSG00000230234	3.28	3.48	4.61
GNA13P1_ENSG00000230237	0	0	0
PDE4DIPP9_ENSG00000230239	0	0	0
RPL34P19_ENSG00000230240	0	0	0
ENSG00000230241	0	0	0
FKBP1AP3_ENSG00000230243	0	0	0
RAD23BP2_ENSG00000230244	0	0	0
ENSG00000230245	0	0	0
SPATA31C1_ENSG00000230246	0	0	0
HNRNPH3P1_ENSG00000230247	0	0	0
ENSG00000230248	0	0	0
RPS24P21_ENSG00000230249	0	0	0
LINC01753	0	0	0
PHB1P4_ENSG00000230251	0	0	0
MTND2P4_ENSG00000230252	0	0	0
FGFR1OP2P1_ENSG00000230256	0	0	0
NFE4	0	0	0
ENSG00000230258	0	0	0
ENSG00000230260	0	0	0
OR52J2P_ENSG00000230261	0	0	0
LINC02603	0.19	0.31	0.13
XXYLT1-AS2	0	0.07	0.27
HERC2P4_ENSG00000230267	0	0	0
SSU72P8	0	0	0
LINC02525	0	0	0
ENSG00000230271	0	0	0
BRI3P3_ENSG00000230273	0	0	0
PGAM1P3_ENSG00000230274	0	0	0
SERBP1P4_ENSG00000230275	0	0	0
ENSG00000230276	0	0	0
HNRNPA1P59_ENSG00000230280	0	0	0.06
RPL7P61_ENSG00000230282	0	0	0
RPS12P24_ENSG00000230283	0	0	0
ENSG00000230284	0	0	0
ENSG00000230285	0	0	0
ENSG00000230286	0	0	0
ENSG00000230287	0	0.57	0
ENSG00000230289	0	0	0
ARMC2-AS1	0	0	0
ENSG00000230291	0	0	0
NAALADL2-AS3	0	0	0
LINC02370	0	0	0
GTF2IP23_ENSG00000230295	0	0	0
ENSG00000230298	0	0	0
SNRPEP11_ENSG00000230299	0	0	0
STARD13-IT1	0.2	0	0
OR5H6	0	0	0
MTND3P4_ENSG00000230302	0	0	0
ENSG00000230303	0	0	0
CICP6_ENSG00000230304	0	0	0
ENSG00000230305	0	0	0
BANF1P2_ENSG00000230306	0	0	0
OR6C5P_ENSG00000230307	0	0	0
ENSG00000230309	0	0	0
AC010422.1	0	0	0
TOMM20P4_ENSG00000230311	0	0.11	0
SLC25A53P1_ENSG00000230312	0	0	0
HCG24	0	0	0
ELOVL2-AS1	0	0	0
FEZF1-AS1	0	0	0
LINC01284	0	0	0
XRCC6P3_ENSG00000230318	0	0	0.01
AL022476.1	0	0	0
BEND7P1_ENSG00000230320	0	0	0
MTCO2P27_ENSG00000230321	0	0	0
ENSG00000230322	0	0	0
LINC00159	0	0	0
LINC01734	0	0	0
ENSG00000230325	0.17	0	0.14
HMGN1P33_ENSG00000230326	0	0	0
MTCO1P42_ENSG00000230327	0	0	0
ENSG00000230328	0	0	0
HMGN2P3_ENSG00000230330	0.35	0	0
ENSG00000230331	0	0	0
ENSG00000230333	0	0.05	0.08
DNAJB5P1_ENSG00000230335	0	0	0
EXOSC10-AS1	0	0.28	0.04
MTND4P19_ENSG00000230338	0	0	0
ENSG00000230339	0	0	0
FANCD2P2_ENSG00000230342	0	0	0
ENSG00000230343	0	0	0
CT47A8	0	0	0
RPL35AP3_ENSG00000230350	0	0	0
ENSG00000230352	0	0	0
RPS21P2_ENSG00000230353	0	0	0
ENSG00000230355	0	0	0
NCAPD2P1_ENSG00000230356	0	0	0
SPDYE21P	0	0	0
TPI1P2_ENSG00000230359	0	0	0
DDX10P2_ENSG00000230360	0	0	0
VN1R32P_ENSG00000230361	0	0	0
ACTG1P23_ENSG00000230362	0	0	0
RPL4P3_ENSG00000230364	0	0	0
ENSG00000230365	0	0	0
DSCR9	0	0	0
FAM41C	0	0	0
RPL23AP52_ENSG00000230370	0	0	0
KARS1P2_ENSG00000230371	0	0	0
GOLGA6L5P_ENSG00000230373	0.41	0.73	1.02
GSTA11P_ENSG00000230375	0	0	0
MEMO1P4_ENSG00000230376	0	0	0
ELOCP7_ENSG00000230377	0	0	0
ENSG00000230379	0	0	0
ENSG00000230381	0	0	0
RPL6P19_ENSG00000230383	0.05	0.04	0
RPSAP25_ENSG00000230384	0	0	0
ENSG00000230385	0	0	0.47
ENSG00000230386	0	0	0
ENSG00000230387	0	0	0
LINC01048	0	0	0
RPSAP23_ENSG00000230391	0	0	0
AC004835.1	0	0	0
ENSG00000230393	0	0	0
ANAPC1P3_ENSG00000230395	0	0	0
SPTLC1P1_ENSG00000230397	0	0	0
HINT2P1_ENSG00000230398	0	0	0
RBBP8P1_ENSG00000230399	0	0	0
LINC01747	0	0	0
LINC01972	0	0	0
LINC01349	0	0	0
LINC01066	0	0	0
ENSG00000230404	0	0	0
RPS3AP52_ENSG00000230405	0	0	0
RPL23P5_ENSG00000230406	0	0	0
ENSG00000230407	0	0	0
AC007163.1	0	0.04	0
TCEA1P2_ENSG00000230409	0.39	0.76	0.27
OR3D1P_ENSG00000230411	0	0	0
ELOCP12_ENSG00000230412	0	0	0
LINC01786	0	0	0
OR5M4P_ENSG00000230416	0	0	0
LINC00595	0	0	0
ARL2BPP7_ENSG00000230418	0	0	0
ENSG00000230423	0	0.03	0
EMC1-AS1	0.05	0.28	0.04
RSU1P1_ENSG00000230425	0	0	0
ERVMER61-1	0	0	0
ENSG00000230428	0	0	0
USP17L25	0	0	0
ENSG00000230432	0	0	0
ENSG00000230433	0	0	0
LINC01650	0	0	0
ENSG00000230435	0	0	0
ENSG00000230437	0	0	0
SERPINB9P1	3.88	4.01	4.59
ENSG00000230440	0	0	0
AC006333.1	0	0	0
TFAMP1_ENSG00000230444	0	0	0
LRRC37A6P_ENSG00000230445	0	0	0.02
CTF2P_ENSG00000230447	0	0	0
LINC00276	0	0	0
RPL7P4_ENSG00000230449	0	0	0
NEK2P4_ENSG00000230450	0	0	0
RPS29P6_ENSG00000230451	0	0	0
LINC01381	0	0	0
ANKRD18B	0	0	0
ENSG00000230454	0	0	0
PA2G4P4_ENSG00000230457	0.48	0	0.33
GPM6BP1_ENSG00000230458	0	0	0
ENSG00000230459	0	0	0
PROX1-AS1	0	0	0
VENTXP4_ENSG00000230465	0	0	0
CLUHP5_ENSG00000230468	0	0	0
RPL5P26_ENSG00000230469	0	0	0
ENSG00000230470	0.23	0	0
ENSG00000230471	0	0	0
ENSG00000230472	0	0	0
ATP6V1G1P7_ENSG00000230474	0	0	0
OFD1P9Y_ENSG00000230476	0	0	0
ENSG00000230477	0	0	0
ENSG00000230478	0	0	0
AP000695.1	0	0	0
RPL34P11_ENSG00000230480	0	0	0
IGKV1OR22-5	0	0	0
ATP5MC2P3_ENSG00000230482	0	0	0
ENSG00000230483	0.24	0	0.48
OR51A10P_ENSG00000230484	0	0	0
ENSG00000230485	0	0	0
PSMG3-AS1	0.57	0.82	0.23
VAV3-AS1	0	0	0
ENSG00000230490	0	0	0
SRD5A2P1_ENSG00000230491	0	0	0
ENSG00000230492	0	0	0
ENSG00000230495	0.14	0	0
MTCO2P7_ENSG00000230496	0	0	0
EEF1B2P8_ENSG00000230497	0	0	0
ENSG00000230498	0	0	0
ENSG00000230499	0	0	0
MKX-AS1	0	0	0
ANKRD30BP3_ENSG00000230501	0	0	0
ENSG00000230502	0	0	0
ENSG00000230506	0	0	0
RPL7AP8_ENSG00000230507	0	0	0
RPL19P21_ENSG00000230508	0	0	0
PPP5D1	0	0	0
THAP7-AS1	0.41	0.24	0.43
ENSG00000230515	0	0	0
ENSG00000230516	0	0	0
HMGB1P49_ENSG00000230519	0	0	0
ENSG00000230520	0	0	0
ENSG00000230521	0.06	0.88	0.81
MBD3L2	0	0	0
LINC01756	0	0	0
COL6A4P1_ENSG00000230524	0	0	0
ENSG00000230526	0	0	0
NOS2P3_ENSG00000230528	0	0	0
CEACAMP9_ENSG00000230529	0	0	0
LIMD1-AS1	0.4	0.1	0.31
MTND5P7_ENSG00000230531	0	0	0
ENSG00000230532	0	0	0
AL356234.2	0	0	0
ENSG00000230534	0	0	0
BASP1P1_ENSG00000230535	0	0	0
ENSG00000230536	0.09	0	0
AL158071.3	0	0	0
PNPLA10P_ENSG00000230538	0	0	0
AOAH-IT1	0	0.49	0
LINC00102	0	0	0
SNX3P1X_ENSG00000230543	0	0	0
ENSG00000230546	0	0	0
HMGB1P11_ENSG00000230547	0	0	0
MTND4P27_ENSG00000230548	0	0	0
USP17L1	0	0	0
ERLNC1	0	0	0
ENSG00000230551	0.21	0.48	0.73
ENSG00000230552	0	0	0
AL450326.1	0	0.14	0.4
ENSG00000230556	0	0	0
CEACAMP2_ENSG00000230558	0	0	0
RPL17P12_ENSG00000230559	0	0	0
CCDC192	0	0	0
FAM133DP_ENSG00000230562	0.4	0.43	0.45
ENSG00000230563	0.14	0	0
CALM1P2_ENSG00000230564	0	0	0
ZNF32-AS2	0	0	0
SF3A3P1_ENSG00000230568	0	0	0.03
ENSG00000230569	0	0	0
ACCSLP1_ENSG00000230570	0	0	0
ENSG00000230571	0	0	0
KMT2CP5_ENSG00000230572	0	0	0
LINC02639	0	0	0
ENSG00000230575	0	0	0
OR6R1P_ENSG00000230576	0	0	0
TMLHEP1_ENSG00000230578	0	0	0
